,impact,citation,current volume,current issue,current date,name,code,nr_articles,doi
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00358
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00364
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00052
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00172
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00220
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00225
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00231
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00245
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00248
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00250
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00270
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00272
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00277
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00282
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00285
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00289
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00290
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00295
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00297
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00301
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00305
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00311
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00314
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00321
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00322
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00323
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00324
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00325
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00330
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00331
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00339
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00344
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00347
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00353
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00361
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00362
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00368
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00376
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00377
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00378
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00380
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00383
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00393
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00404
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00203
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00405
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00414
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00427
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00445
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00449
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00451
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/elv002i007_1398491
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/elv002i007_1398490
3,['Impact Factor 2019: 4.473'],"['Citations 2019: 4,671']",['Volume 3'],['Issue 7'],"['July 27, 2020']",ACS Applied Energy Materials,aaemcq,137,https://pubs.acs.org/doi/10.1021/acsaem.0c01415
3,['Impact Factor 2019: 4.473'],"['Citations 2019: 4,671']",['Volume 3'],['Issue 7'],"['July 27, 2020']",ACS Applied Energy Materials,aaemcq,137,https://pubs.acs.org/doi/10.1021/acsaem.0c00957
3,['Impact Factor 2019: 4.473'],"['Citations 2019: 4,671']",['Volume 3'],['Issue 7'],"['July 27, 2020']",ACS Applied Energy Materials,aaemcq,137,https://pubs.acs.org/doi/10.1021/acsaem.0c00987
3,['Impact Factor 2019: 4.473'],"['Citations 2019: 4,671']",['Volume 3'],['Issue 7'],"['July 27, 2020']",ACS Applied Energy Materials,aaemcq,137,https://pubs.acs.org/doi/10.1021/acsaem.0c00461
3,['Impact Factor 2019: 4.473'],"['Citations 2019: 4,671']",['Volume 3'],['Issue 7'],"['July 27, 2020']",ACS Applied Energy Materials,aaemcq,137,https://pubs.acs.org/doi/10.1021/acsaem.0c00780
